,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
sample2-NUSVR-nu=0.05-C=0.1,-0.0065735112680300805,-0.0024517337790604388,-4.336808689942018e-19,-0.004908164914278746,-0.0005397689836044092,0.005326912189406596,-0.006362444830183559,-0.008952983593926198,-0.0011430704854276828,-0.009327593502258034,-0.0035499018167167856,-0.035686359792786886,-0.011277134869156605,-0.00024065230881349913,-0.02351255240756528,-0.001187518293148981,-0.007253861725830974,-0.004549617111014349,-0.012169701249207056,-0.014576680382168332,-0.0119666237865573,-0.009559700135020168,-0.007452266110231327,-0.016302689865399865,-0.03168456097098783,-0.003272909633568258,-0.004701366002197036,-0.009381825605393915,-0.008664996986193255,-0.010255014323384786,-1.734723475976807e-18,-0.0007150634558932547,-0.009668295324715224,-0.004893902036769536,-0.014829881166513908,-0.0032359274575148233,-0.01780376043862498,0.02484558167200203,-0.01418637634378241,-0.0013922005864297694,-0.01849299852137975,-0.011562164284070808,-0.010487328503812968,-0.018958140277615755,-0.02259906569772095,0.016103559906786954,-0.007827329552443413,0.0627217022238454,-0.010462409880293629,0.09561269368674091,0.03988107796162614,0.001235012243861551,0.12631243407094433,-0.015993065120518332,0.12196524436630854,0.11989447967814702,-0.006760157466166312,-0.0013149972468504603,-0.017612351635485506,-0.009836652708711145,-0.009313794765858533,0.06401767273353606,0.891822400541547,0.4641718636958283
sample2-NUSVR-nu=0.1-C=0.1,-0.01950686488979713,0.0011893532378351012,0.018107779068128153,-0.016694648980606363,0.0014827479981177226,-0.01061530082534873,-0.006913106993152936,-0.015191841641040368,-0.002443915824902868,-0.01416696729468338,0.0004128071496260575,-0.03834445591417773,-0.01088766455287029,0.027590126501279857,-0.054223165122440485,0.023000352441321592,0.0037845616834574995,0.015898148834345767,-0.02013800264653374,-0.013160546132851798,-0.013744294172765651,-0.02311218915270982,-0.006723623028801999,-0.01716576376618732,-0.05049636525429981,0.002662246148193323,0.017907284026288835,-0.0008243511762792239,-0.01916373016032316,0.0015442388561869008,-0.008088731411847567,0.014510711929208997,-0.014734355925486352,-0.008235230482963493,-0.01316605415143033,0.0034434038977521862,-0.04278712446392022,0.03356353075411369,-0.03159801600620512,-0.011916863165276535,-0.0292570840527369,-0.011035059775091005,-0.007106068600057972,-0.04012398675858428,-0.020181035634839178,0.015923588338736486,0.02040056950379269,0.11591533218926041,-0.025652224691911887,0.1509146191632722,0.057961357841471134,0.02611573640223561,0.19926350983569863,0.002913223871028702,0.18820411536079135,0.18531644411531756,-0.009860160130547965,0.013160616633842617,-0.030760028669248585,-0.007061324935010759,-0.02328471386153002,0.08853390434851864,0.8920540685610295,0.4962115499719977
sample2-NUSVR-nu=0.15-C=0.1,-0.031015884968192447,0.007486365850331939,0.04733455969866293,-0.02406114991621243,0.0004218275416532219,-0.017632189227404362,-0.007954416782074689,-0.019973704218131494,0.007189831932351442,-0.018513768495395457,0.003386017188488388,-0.03921354729792901,-0.0005264905845014673,0.03125933485795005,-0.06209621381971217,0.03214987244343927,0.011448585387390431,0.02346755455021249,-0.018351066705350895,-0.008420907587338806,-0.0065414890579875255,-0.03327851924046155,-0.0012872244209722718,-0.017035032977175926,-0.05822962378945706,0.01139038303650445,0.021399677890902316,-0.0027463387037199184,-0.019807614287903362,0.00680271898006977,-0.005989621009257996,0.012625677756771043,-0.01653857960140049,-0.008502095288667204,-0.012607830528316547,0.017666041914333297,-0.05607471163010744,0.023254637177642166,-0.033765232198098766,-0.019081442384125014,-0.03990223585239115,-0.012212712981089911,0.0014276976110884788,-0.04991976602604838,-0.02104731464623147,0.018108191100010773,0.0353234705334164,0.12821816354916174,-0.04548003152558655,0.16466062806925286,0.06072486981796671,0.031124155478126535,0.2202028683404427,0.019824860150065658,0.20650976600509702,0.20115818392294152,-0.00913361738847481,0.03007051447518517,-0.03515548068365582,-0.0065255600092663565,-0.022307724968858404,0.09657988850587965,0.8740118324720431,0.5431617733693711
sample2-NUSVR-nu=0.25-C=0.1,-0.031027744460309026,0.007486517604804364,0.04734862484127188,-0.024077162150124565,0.0004148050257366771,-0.017628914736002543,-0.007959616093036165,-0.019999565575035367,0.007138889093029741,-0.01851706970956161,0.0033461597147777483,-0.0391793038543446,-0.0005313798466346446,0.03124309556696022,-0.06207827346563013,0.032136625443100905,0.011453826152783567,0.02345206606253692,-0.018361017041870473,-0.008418433792015274,-0.006527761455752342,-0.03328148851080741,-0.0013099992303471,-0.017026089651249524,-0.05823053460894334,0.01138738477407017,0.021376023508810113,-0.0027631077192928335,-0.019803112489704955,0.006801937022480635,-0.005980091825720832,0.012613404949762414,-0.0165346956714457,-0.008513899150313645,-0.012608247089408265,0.017674359934319584,-0.05606430298564654,0.023250953469437202,-0.033760889236825346,-0.01908730169156563,-0.039895239019602395,-0.012210775997315963,0.00142875565121983,-0.0499207855873018,-0.02106984504163962,0.018110575640686834,0.03530029392934215,0.12820357948882588,-0.04549044198968529,0.16466412497726937,0.0607183416339107,0.031116742680041717,0.22019884512111762,0.019803466013423754,0.2065138801450633,0.20116239054894833,-0.009137720452347745,0.030076782249698387,-0.03514728499932697,-0.006517282036576406,-0.022367637933378016,0.09657424872010609,0.8740664179685554,0.5430701628761146
sample2-NUSVR-nu=0.5-C=0.1,-0.03105071455671483,0.007484646146935833,0.04740907781854983,-0.024094818781123753,0.0004048183100479277,-0.017654966257716256,-0.007993111316028572,-0.02000318694445912,0.007229451397228004,-0.018541269727022545,0.003349110873954634,-0.039262663967374704,-0.0005234498871088834,0.03123625466909806,-0.06212214094722618,0.03215034571010088,0.011463699220884183,0.02346167110548284,-0.01836485342749987,-0.008413846659639637,-0.006519452903025082,-0.03331917620173397,-0.0012733726922761288,-0.017049154645359617,-0.05828041807209482,0.01141117939666517,0.021376893422671833,-0.002771601557851798,-0.019808561555874876,0.006827356126157856,-0.005955112326369728,0.012615714228327586,-0.016508592771518303,-0.0085064682788649,-0.012632553743283866,0.01772971530670642,-0.05611117552994596,0.023203405886446482,-0.03375756036126272,-0.019103264394849804,-0.039930309639914105,-0.012214443160184933,0.0014501288171183367,-0.049934971370863494,-0.021048923053058843,0.0180870916709184,0.03532847376833482,0.12824722795204463,-0.04551813808993316,0.1646587862194539,0.06070782146638388,0.03109353273211627,0.2202411328349402,0.01983360674961908,0.20654495440507212,0.2011833944248579,-0.009147589999946155,0.030086874485823242,-0.0351762981915509,-0.00652599750282023,-0.02230031676885537,0.09657374825362296,0.874033824560639,0.5431574181668907
sample2-NUSVR-nu=0.6-C=0.1,-0.031035478236348155,0.0074767362786145874,0.04737739446732306,-0.024081449316219607,0.0003896172279386492,-0.017651497884933108,-0.007981339818522459,-0.019994130537682505,0.007199439655034962,-0.01852055734257925,0.0033411108738796843,-0.03933463799259801,-0.0005314356385596915,0.0312355415030544,-0.062109218567116646,0.0321443477616327,0.0114591884958258,0.023455468104369385,-0.01836586159870864,-0.008404153826948996,-0.0065197214360576475,-0.03328706739331106,-0.0012830412695973709,-0.017047561408061743,-0.05822636663486457,0.011408216045165351,0.021387752663389728,-0.002763783682002064,-0.019788942402231006,0.006848215335243367,-0.005972819545483803,0.012609315594176988,-0.01652850049387121,-0.00851007537468436,-0.012619656503241341,0.017713620779841073,-0.0560917628316938,0.023211899850415618,-0.03374824678746409,-0.01908624834796589,-0.039900327817008356,-0.012198059529620688,0.0014500924251405955,-0.049913385931651934,-0.02104292990940675,0.018086604202899797,0.035332321796024135,0.12824767552711985,-0.04547016903865328,0.16465692075421856,0.0607063978276325,0.031099633644997182,0.2202062548384189,0.019826861487214305,0.2065159854930515,0.20115338234025265,-0.009133374462428345,0.03006555524643846,-0.03515606400880779,-0.00654721929902679,-0.02232646101833845,0.09656620504727476,0.8740443054967822,0.5431305046585455
sample2-NUSVR-nu=0.75-C=0.1,-0.031071232364435854,0.00750790986805786,0.04741597760535535,-0.024105902475725124,0.00043006101989410755,-0.01765110577612054,-0.007972586533657074,-0.019987193555480693,0.007198439748558166,-0.01856576422691497,0.0033705750683308455,-0.03922242793223292,-0.0004851992762704149,0.031247288830539437,-0.06210155921546484,0.032153543838235606,0.011464558854766538,0.02346026711414339,-0.0183335504819473,-0.008411333753439153,-0.0064969915777084684,-0.03331688599855131,-0.00130758689351383,-0.017002108413701932,-0.05820672736395173,0.011404546421636729,0.02138343909343204,-0.0027737832560487613,-0.019817336723607262,0.006793179467890472,-0.0059942809014753295,0.01259691617832014,-0.016501676039207276,-0.008502573435966682,-0.012600476895478493,0.017718517001023046,-0.05610538491710399,0.023238228144696303,-0.033765032354877614,-0.019121564128961533,-0.03992268598180355,-0.012216625682765504,0.0014345314324878938,-0.0499290530990458,-0.020999572646276235,0.01812391788621807,0.035335047681815904,0.12821347597609611,-0.04554225287198854,0.16465964933971983,0.060701237804301804,0.03112833848832562,0.2202181323449622,0.019868471904415357,0.20652342302274912,0.20117621578305409,-0.00914333791832257,0.030118610948808994,-0.03515082392557346,-0.0065455959086289026,-0.022296220429101107,0.09657652110368824,0.8739869852626793,0.5432296817443023
sample2-NUSVR-nu=0.8-C=0.1,-0.031046498076293675,0.007517051436791475,0.04741687718644582,-0.024086256924071188,0.0004457225714271304,-0.017651371651155993,-0.007957520486479318,-0.020013744691179787,0.0072279796567479605,-0.01859654660745649,0.0033821130273082507,-0.03922291709525626,-0.0004923404655049306,0.0312491872010318,-0.06213002619493688,0.032159563378026126,0.011461286041946298,0.02347567253233866,-0.018355162154043345,-0.008437470126012434,-0.006506609879961583,-0.03331660664869386,-0.0013043669320694506,-0.01700636956363407,-0.05818133242293018,0.011409192092508735,0.02137805401669002,-0.0027758379828454528,-0.019812351620258812,0.006745638975918329,-0.0059932752858118405,0.012614968214831015,-0.01649896020372428,-0.008484686284353454,-0.012615717074081417,0.017711683058030336,-0.05610706020069037,0.02321987314459678,-0.03377613463991435,-0.01909701136999488,-0.03996709735851704,-0.012251359280254746,0.0014580557220512744,-0.04992731209530107,-0.020966519417054914,0.01811445450501379,0.03532607830816428,0.12819288340708124,-0.045594885904625536,0.16465515521185348,0.06072413995696283,0.03112192176713511,0.2202217774593506,0.019857464816666122,0.20652342302274918,0.20117285718290923,-0.009119960088804778,0.030123691321515107,-0.03513602948001817,-0.0065565015287924605,-0.022305131419131284,0.0965376849432485,0.8739755501784939,0.543249179255273
sample2-NUSVR-nu=0.85-C=0.1,-0.03104649807629368,0.007517051436791482,0.047416877186445786,-0.024086256924071146,0.00044572257142710774,-0.017651371651156034,-0.007957520486479278,-0.020013744691179728,0.007227979656747949,-0.018596546607456473,0.003382113027308266,-0.039222917095256035,-0.0004923404655049167,0.031249187201031817,-0.06213002619493694,0.03215956337802613,0.011461286041946276,0.02347567253233863,-0.018355162154043324,-0.008437470126012427,-0.00650660987996156,-0.03331660664869377,-0.00130436693206952,-0.01700636956363406,-0.05818133242293014,0.011409192092508758,0.021378054016690098,-0.00277583798284546,-0.019812351620258746,0.006745638975918418,-0.005993275285811957,0.012614968214830985,-0.016498960203724315,-0.008484686284353435,-0.012615717074081389,0.01771168305803035,-0.05610706020069037,0.0232198731445968,-0.03377613463991433,-0.01909701136999482,-0.03996709735851699,-0.012251359280254684,0.0014580557220512259,-0.04992731209530104,-0.020966519417054973,0.01811445450501378,0.03532607830816435,0.1281928834070812,-0.04559488590462538,0.16465515521185345,0.06072413995696283,0.031121921767135127,0.22022177745935057,0.019857464816666122,0.20652342302274912,0.20117285718290914,-0.009119960088804741,0.03012369132151508,-0.035136029480018136,-0.006556501528792641,-0.022305131419131315,0.09653768494324849,0.873975550178494,0.543249179255273
sample2-NUSVR-nu=0.05-C=0.25,-0.02903615578386331,0.006974178178377028,0.04281254209807786,-0.02332889335146731,0.0009321813986659551,-0.016524358778866093,-0.007287418281017378,-0.019934981133173497,0.002113977705667125,-0.017178832217277173,0.0014929976514064334,-0.03852116166100461,-0.002524726341373077,0.031124085414142456,-0.06049806429782259,0.030732246784362757,0.0105241441309325,0.022143537271339303,-0.019023426394284455,-0.009190441456376687,-0.0073387952010786,-0.031233333190847812,-0.003736210565563159,-0.01655982459378863,-0.05554116152128058,0.009974606267695307,0.02055934207202262,-0.003023367224521697,-0.01951273047681992,0.0063638551835768775,-0.00620283894378856,0.013127763398049982,-0.016740285355757247,-0.008610364017504198,-0.012354464936454139,0.01541711299611686,-0.053604237636206455,0.02560878371078676,-0.033483636116861504,-0.01796466123750786,-0.0375763327603701,-0.011460679840224038,0.0004911042960352614,-0.04791355304639229,-0.021637147535572984,0.01769033003019964,0.03271756849861403,0.12617573285075057,-0.04199241856947973,0.16310098027033942,0.06061662511995359,0.030635343617437,0.21683396479191044,0.016591512316289775,0.2038820046999789,0.1990868384767884,-0.008714762562923382,0.02777354047194762,-0.03397268460087862,-0.006146963750411249,-0.026778753495196633,0.09446710557829499,0.8784664958885273,0.5337957986137429
