,sample1-NUSVR-nu=0.05-C=0.1,sample1-NUSVR-nu=0.1-C=0.1,sample1-NUSVR-nu=0.15-C=0.1,sample1-NUSVR-nu=0.25-C=0.1,sample1-NUSVR-nu=0.5-C=0.1,sample1-NUSVR-nu=0.6-C=0.1,sample1-NUSVR-nu=0.75-C=0.1,sample1-NUSVR-nu=0.8-C=0.1,sample1-NUSVR-nu=0.85-C=0.1,sample1-NUSVR-nu=0.05-C=0.25,sample1-NUSVR-nu=0.1-C=0.25,sample1-NUSVR-nu=0.15-C=0.25,sample1-NUSVR-nu=0.25-C=0.25,sample1-NUSVR-nu=0.5-C=0.25,sample1-NUSVR-nu=0.6-C=0.25,sample1-NUSVR-nu=0.75-C=0.25,sample1-NUSVR-nu=0.8-C=0.25,sample1-NUSVR-nu=0.85-C=0.25,sample1-NUSVR-nu=0.05-C=0.5,sample1-NUSVR-nu=0.1-C=0.5,sample1-NUSVR-nu=0.15-C=0.5,sample1-NUSVR-nu=0.25-C=0.5,sample1-NUSVR-nu=0.5-C=0.5,sample1-NUSVR-nu=0.6-C=0.5,sample1-NUSVR-nu=0.75-C=0.5,sample1-NUSVR-nu=0.8-C=0.5,sample1-NUSVR-nu=0.85-C=0.5,sample1-NUSVR-nu=0.05-C=0.75,sample1-NUSVR-nu=0.1-C=0.75,sample1-NUSVR-nu=0.15-C=0.75,sample1-NUSVR-nu=0.25-C=0.75,sample1-NUSVR-nu=0.5-C=0.75,sample1-NUSVR-nu=0.6-C=0.75,sample1-NUSVR-nu=0.75-C=0.75,sample1-NUSVR-nu=0.8-C=0.75,sample1-NUSVR-nu=0.85-C=0.75,sample1-NUSVR-nu=0.05-C=1,sample1-NUSVR-nu=0.1-C=1,sample1-NUSVR-nu=0.15-C=1,sample1-NUSVR-nu=0.25-C=1,sample1-NUSVR-nu=0.5-C=1,sample1-NUSVR-nu=0.6-C=1,sample1-NUSVR-nu=0.75-C=1,sample1-NUSVR-nu=0.8-C=1,sample1-NUSVR-nu=0.85-C=1,sample1-NUSVR-nu=0.05-C=10,sample1-NUSVR-nu=0.1-C=10,sample1-NUSVR-nu=0.15-C=10,sample1-NUSVR-nu=0.25-C=10,sample1-NUSVR-nu=0.5-C=10,sample1-NUSVR-nu=0.6-C=10,sample1-NUSVR-nu=0.75-C=10,sample1-NUSVR-nu=0.8-C=10,sample1-NUSVR-nu=0.85-C=10
0,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112,C1orf112
1,ENPP4,ENPP4,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1,DPM1
2,FGR,FGR,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4,ENPP4
3,STPG1,FUCA2,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR,FGR
4,TNMD,GCLC,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2,FUCA2
5,,NIPAL3,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC,GCLC
6,,SCYL3,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L,LAS1L
7,,STPG1,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NIPAL3,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA,NFYA
8,,TNMD,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,SCYL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3,NIPAL3
9,,TSPAN6,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,STPG1,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3
