,adventitial cell,cardiac muscle cell,cell of skeletal muscle,fibroblast/mesenchymal stem cell,melanocyte,mesothelial cell,pancreatic stellate cell,pericyte cell,schwann cell,smooth muscle cell,stromal cell,tendon cell,acinar cell of salivary gland/myoepithelial cell,basal cell,basal cell of prostate epithelium,bladder urothelial cell,ciliated cell/lung ciliated cell,ciliated epithelial cell/epithelial cell of uterus,club cell/type i pneumocyte,club cell of prostate epithelium/hillock cell of prostate epithelium/hillock-club cell of prostate epithelium,duct epithelial cell/serous cell of epithelium of bronchus,duodenum glandular cell,enterocyte of epithelium of large intestine/enterocyte of epithelium of small intestine/intestinal crypt stem cell of large intestine/large intestine goblet cell/mature enterocyte/paneth cell of epithelium of large intestine/small intestine goblet cell,goblet cell,hepatocyte,immature enterocyte/intestinal crypt stem cell/intestinal crypt stem cell of small intestine/transit amplifying cell of large intestine,intestinal enteroendocrine cell/paneth cell of epithelium of small intestine/transit amplifying cell of small intestine,intestinal tuft cell,intrahepatic cholangiocyte,ionocyte/luminal epithelial cell of mammary gland,keratinocyte,kidney epithelial cell,luminal cell of prostate epithelium,medullary thymic epithelial cell,mucus secreting cell/secretory cell/tracheal goblet cell,pancreatic acinar cell,pancreatic alpha cell/pancreatic beta cell,pancreatic delta cell,pancreatic ductal cell,pancreatic pp cell,pulmonary ionocyte,respiratory goblet cell/respiratory mucous cell/serous cell of epithelium of trachea,salivary gland cell,type ii pneumocyte,b cell,basophil,erythrocyte/erythroid progenitor,hematopoietic stem cell,innate lymphoid cell,macrophage,mast cell,mature conventional dendritic cell,monocyte,myeloid progenitor,neutrophil,nk cell,plasma cell,plasmablast,platelet,t cell,thymocyte,endothelial cell,r,rmse
sample3-NUSVR-nu=0.05-C=0.1,-0.0033774854783726943,-0.0004686424434529237,-2.168404344971009e-19,-0.002250831886067379,-7.686684397728094e-05,0.0013240889084216922,-0.002660845846863106,-0.009570546505191457,0.0015619228559034908,-0.007352016714049948,-0.0005468805837545807,-0.027029143618423186,-0.008539653371452259,0.013053522592022696,-0.02524799611166711,0.011399140914829641,0.0024445378993908484,0.008690553542594532,-0.014016941242580721,-0.006550083463928203,-0.0082637043274103,-0.006354173096247624,0.001717999686016233,-0.00960702630996987,-0.028192380674397933,0.002250244789636025,0.008811636937427684,0.002477036451553099,-0.00640163782115435,-0.001009162516677476,6.505213034913027e-19,0.011834813404135457,-0.006996785265954658,-0.004393105405714967,-0.006493941456201734,-0.0015407905820709195,-0.016490353459019617,0.02244981641365414,-0.01418358834684804,-0.00019825901174900986,-0.01244576129442325,-0.005588471019271448,-0.00390194994650251,-0.020452278863537954,-0.01429843848341042,0.00992991344524896,0.0026560980593833237,0.06491535403990192,-0.0099191991158382,0.08818231293444403,0.03650326667258919,0.012165107673154447,0.11434492379488732,-0.0090354338388074,0.10866243714884026,0.10695679597528596,-0.006079367832004228,-0.0009627072617474355,-0.015065890984451318,-0.0031222876109737174,-0.011091551443075331,0.05618089523355594,0.8547793042243234,0.5379520514137258
sample3-NUSVR-nu=0.1-C=0.1,-0.00744300043454616,-0.001332623138407324,-5.609044854153261e-05,-0.002018853150487417,-0.0022244211334897764,-0.008692351521381807,-0.0070857086091638145,-0.013120429254160149,0.028250279955287467,-0.021015306248521732,0.01501664076263243,-0.0337926862567446,-0.006720099151132099,0.03660058297333202,-0.04917998519236743,0.036191617320796274,0.014492189368620633,0.032367707893669294,-0.02492589856667888,-0.002934747868986378,-0.014477689030870993,-0.01691377398063007,0.02663457356191061,-0.013593756653575328,-0.048191686806071894,0.00864321841213531,0.032489167052897935,0.0226051486585839,-0.017604309208818298,-0.0019112632347057493,-6.270188894140461e-05,0.032081196661428266,-0.009990286346576324,-0.01108710233671035,-0.003718535380367934,-0.005807347417173873,-0.03583236828006738,0.028096693765856377,-0.03256781709816018,-0.005704472363624579,-0.02260469759066613,-0.010957987077670223,-0.0058435044749995365,-0.046481058415916314,-0.0021383181694630484,0.004424075960245099,0.016130432973512653,0.1034277237582985,-0.03034067545089243,0.12749308707355508,0.04856398967159361,0.03429701505736622,0.1723968120847905,-0.0017812805239104047,0.15959552025933557,0.15480858072962056,-0.01834065179962004,-0.0062386386485497915,-0.031823405792329194,0.001585403092281411,0.013751091642397548,0.08490730625628916,0.852891996582447,0.572651957797374
sample3-NUSVR-nu=0.15-C=0.1,-0.015010030127706284,0.0002687800128817983,0.01596147403478562,-0.006641173706984152,0.006431335808051458,-0.013206862426792124,-0.010831115767968523,-0.0041986068012691315,0.06387573273921111,-0.02634066992445236,0.03782595503588146,-0.03643120199585361,0.001361543739835036,0.04613348816075817,-0.062183882220317836,0.04587505670602218,0.01526293408711157,0.04403364151612255,-0.016292850808795105,-0.006077413109064995,-0.019684115411609374,-0.03598380115784813,0.039874843758953074,-0.015935221321842975,-0.07361909107012005,0.009058498055311427,0.04075979463264166,0.0286491754453974,-0.03193533152163253,-0.007226175283972858,-0.0011995723105693837,0.03773066669431596,-0.0012236918157681235,-0.004807263795747868,-0.008224326813521915,-0.000727885001062615,-0.05088601731358137,0.02594545396741625,-0.039826799264141254,-0.016648256926332917,-0.03937951825899689,-0.01910184611099472,-0.003962142816942639,-0.05563504390553114,0.01096058835772039,0.009738669684420597,0.03508203761154998,0.12267098046216536,-0.05030877219757287,0.13607978424177336,0.05162338336698047,0.04070239869559408,0.1995683162341945,0.024032796845716704,0.17927616451284442,0.17577599512844516,-0.02264344475811493,0.010629884844877063,-0.04317327467824483,0.013032079355519754,0.0552209557481745,0.09435782993114265,0.8302051024867092,0.6237014575322372
sample3-NUSVR-nu=0.25-C=0.1,-0.015394815689740831,-0.005714514169220579,0.028689045599301185,-0.009912488111068953,0.009030927125568595,-0.011155954346217505,-0.019054986728147892,-0.007504366724060802,0.09514729564736135,-0.025959028663679582,0.044570342440790466,-0.04626431622502021,-0.0014933278665904069,0.04801259472779572,-0.06549133367855023,0.049941488955681755,0.01937019556170402,0.05445914796865562,-0.017066929965307856,-0.007254436933434143,-0.025246266127647268,-0.055134688272060674,0.05893904382014913,-0.020077020648754357,-0.11433878930380147,0.00773122412776009,0.04017502955344016,0.03659374810655234,-0.042153512658077055,-0.008142171433745272,0.011280779295690295,0.049117686194940155,0.016392472597268518,-0.0004059165092619907,-0.01775166206858774,0.006406539545831961,-0.05311787257141928,0.014802308843984428,-0.04010542761453072,-0.0227044603720701,-0.05188790961585632,-0.02695751936086207,0.006456948729539557,-0.06022729746549613,0.0153282937433614,0.010231133252027756,0.04328106338950526,0.1423438326813945,-0.06907396879817476,0.13728146854576243,0.051607303896371824,0.03812998762784755,0.2189167562213665,0.03603263476002393,0.19312711134346905,0.18978893881481218,-0.02831640040432377,0.023100387241670864,-0.05042753307721754,0.04274492137476666,0.08367576044908882,0.09469796974584754,0.8061017501530174,0.6612601929180183
sample3-NUSVR-nu=0.5-C=0.1,-0.01538476441109189,-0.005740079187812638,0.02873240544474817,-0.009919749892293937,0.009043635464230254,-0.011119707492422097,-0.019103100345217568,-0.007529822864740004,0.09528919638434208,-0.025960796545521407,0.04457812177171994,-0.04630076971843444,-0.001510029708648551,0.04800437240934231,-0.0654793205396147,0.04995100277920304,0.01939757960630988,0.05449703315698671,-0.01707789477708489,-0.007252126956235495,-0.025260152822325733,-0.055213136948208404,0.05904142013025713,-0.020090456431990464,-0.1145480293844879,0.0077324162417554045,0.0401512075582178,0.036625881631756244,-0.042190721438139595,-0.00814654019440399,0.01137551919099037,0.049179747223621596,0.016495208404703744,-0.00038913776421556053,-0.01779431223296192,0.006448918377123264,-0.053106643486805855,0.014764159783935941,-0.04008841410481591,-0.02272534413674109,-0.05192757842256556,-0.026983433154228763,0.006503431696480655,-0.06024529003590355,0.01532256445324305,0.010235186301791939,0.043272976301949935,0.14243018699975535,-0.06915189825719377,0.13729358094015903,0.05161086957430359,0.03809756899760016,0.21902241970907868,0.03604234834547928,0.1932113674712165,0.1898757917465317,-0.028358484753624947,0.02313348003029111,-0.050463866959935606,0.042897810474737154,0.08380231273778815,0.09472795789190028,0.8059930208763241,0.6614082624368762
sample3-NUSVR-nu=0.6-C=0.1,-0.015374462453790285,-0.005724619783765372,0.02874227993663055,-0.00991332727930624,0.009047718077115373,-0.011131588186728197,-0.01908489730068293,-0.0075337228269647515,0.09525517402227253,-0.02594439060836709,0.04457175848753278,-0.04627870857459761,-0.0015104687394002913,0.04802112174831564,-0.06549367947832695,0.04996431774040755,0.01940300697175345,0.05450567702050435,-0.017083480025491773,-0.007250206539049448,-0.02525537903485301,-0.05519356699168616,0.05902596359130938,-0.020092918088945148,-0.11451491685135673,0.007746830175771895,0.040163172329612605,0.03661885827416044,-0.042174292276351166,-0.008125779630052782,0.011372756714968535,0.049187595318720925,0.016470010171781145,-0.0003832701529626857,-0.017787669260938523,0.006456605124804379,-0.05311324527919633,0.014759542942748918,-0.040087005991354036,-0.022712327776856268,-0.05192447828508508,-0.02696980630325445,0.006518683197500034,-0.0602391245551167,0.015306011666391194,0.010220022081916498,0.04329041164591755,0.14242123124757855,-0.06913714720160766,0.13728858007402114,0.051620612512905506,0.03810193898891712,0.21900185181750867,0.03604342210937635,0.1931933457060112,0.18985480304800453,-0.028335994810491944,0.023137295683877217,-0.05045845303195643,0.04288137944811118,0.08373786953257896,0.09470346007553021,0.8059726728578992,0.6614169309207454
sample3-NUSVR-nu=0.75-C=0.1,-0.01537581830460168,-0.005733689253025651,0.0287379066732806,-0.009912695610183295,0.009046215824081223,-0.011123006163945959,-0.019093642204587757,-0.007524234807368874,0.09528294236963357,-0.025942038858263915,0.04458726291182533,-0.04630160736556505,-0.0015111328618508501,0.048012530584260305,-0.06548682988249939,0.04995703172421906,0.01939580399347018,0.054502661228291505,-0.017076887243435503,-0.007254289435742883,-0.02526757921554471,-0.055206970500194505,0.05904214196802942,-0.020103349340093037,-0.11454464630411529,0.007737902902383387,0.04015702616058559,0.036623208466734565,-0.042187191361422335,-0.008136955950960855,0.011378582358160815,0.04918307725769499,0.016472963106201412,-0.00038493691307529864,-0.01779651024385782,0.006447640697499368,-0.053113709325735316,0.014761278526902798,-0.04009001427158156,-0.022719131711745146,-0.05193186710745982,-0.026979784702301418,0.006511191292267159,-0.06024447301767191,0.015303765823390386,0.01022959752508598,0.04328635923394578,0.14243243716442486,-0.0691445568075309,0.13729686844802702,0.05162126891347691,0.03809648798881834,0.21902367093698955,0.0360478090990282,0.1932120767236185,0.1898732197592035,-0.02834666694578666,0.02313714980773126,-0.05046994578338763,0.042898032132467526,0.08378479902837874,0.09472453716892738,0.8059794894261771,0.6614163535561046
sample3-NUSVR-nu=0.8-C=0.1,-0.015375818304601717,-0.005733689253025654,0.028737906673280612,-0.009912695610183316,0.009046215824081221,-0.011123006163945959,-0.01909364220458777,-0.00752423480736885,0.09528294236963357,-0.025942038858263884,0.044587262911825375,-0.04630160736556485,-0.001511132861850822,0.048012530584260325,-0.06548682988249938,0.04995703172421907,0.019395803993470188,0.05450266122829149,-0.017076887243435472,-0.007254289435742864,-0.02526757921554472,-0.055206970500194526,0.059042141968029434,-0.020103349340093057,-0.1145446463041154,0.007737902902383392,0.040157026160585606,0.036623208466734565,-0.04218719136142237,-0.008136955950960836,0.011378582358160826,0.049183077257694975,0.016472963106201378,-0.0003849369130753288,-0.01779651024385781,0.006447640697499348,-0.05311370932573536,0.014761278526902817,-0.040090014271581584,-0.022719131711745184,-0.05193186710745982,-0.0269797847023014,0.006511191292267124,-0.06024447301767197,0.015303765823390292,0.010229597525085987,0.043286359233945776,0.14243243716442486,-0.0691445568075309,0.13729686844802702,0.051621268913476896,0.038096487988818345,0.21902367093698955,0.03604780909902822,0.19321207672361854,0.1898732197592035,-0.028346666945786702,0.023137149807731267,-0.0504699457833877,0.04289803213246755,0.08378479902837879,0.09472453716892745,0.805979489426177,0.6614163535561046
sample3-NUSVR-nu=0.85-C=0.1,-0.015375818304601729,-0.005733689253025613,0.02873790667328058,-0.009912695610183325,0.009046215824081274,-0.011123006163946025,-0.019093642204587764,-0.007524234807368758,0.09528294236963351,-0.02594203885826391,0.0445872629118254,-0.0463016073655649,-0.0015111328618508083,0.048012530584260346,-0.06548682988249944,0.049957031724219086,0.019395803993470143,0.05450266122829147,-0.017076887243435434,-0.007254289435742897,-0.02526757921554472,-0.05520697050019449,0.05904214196802934,-0.02010334934009306,-0.11454464630411522,0.007737902902383385,0.04015702616058564,0.03662320846673451,-0.04218719136142238,-0.008136955950960815,0.01137858235816076,0.04918307725769495,0.016472963106201336,-0.00038493691307528997,-0.017796510243857804,0.006447640697499369,-0.05311370932573541,0.014761278526902882,-0.040090014271581605,-0.022719131711745198,-0.05193186710745979,-0.026979784702301363,0.0065111912922670686,-0.060244473017671926,0.015303765823390379,0.010229597525085942,0.04328635923394582,0.1424324371644248,-0.06914455680753079,0.13729686844802702,0.05162126891347689,0.038096487988818345,0.2190236709369895,0.036047809099028244,0.19321207672361848,0.18987321975920343,-0.028346666945786678,0.023137149807731235,-0.05046994578338772,0.042898032132467394,0.08378479902837878,0.0947245371689274,0.8059794894261773,0.6614163535561046
sample3-NUSVR-nu=0.05-C=0.25,-0.011148121384771238,-0.0007004774639328743,0.008075257513381551,-0.0034360210087456384,0.0004451364481123754,-0.011288857199545485,-0.008352890697472989,-0.008260370115252536,0.04609331436188527,-0.022262746573813743,0.028253341585301874,-0.036077731039726106,-0.002068074399758274,0.04151273757877515,-0.055167198402337615,0.04164400254149485,0.014961168153519446,0.03883611629469929,-0.020704276865740633,-0.0038262640972148935,-0.018162765357366516,-0.02602038298153173,0.03528501059918689,-0.016597885028477616,-0.06032716351491313,0.009061338497275322,0.03751267658963693,0.02657168875557326,-0.024745532421071532,-0.004599734824301433,-0.0007115040027425249,0.033962517225056464,-0.009863207287354717,-0.009384108496945692,-0.005577192884929271,-0.0052394751948132735,-0.044095949728831824,0.026199041747606677,-0.03735278278343875,-0.011029607086097641,-0.0312539315075628,-0.015460306946195811,-0.005281661735961198,-0.05287235640564572,0.0023328642716923965,0.006978826983251915,0.026399925398064197,0.11272520594875865,-0.041087407333415864,0.13319283621222347,0.05049062981394462,0.03848504892307769,0.1863868423776494,0.011612431781132066,0.16998214707510267,0.1648806280267591,-0.020558919438031793,0.0015645585255172631,-0.038612189499284494,0.007260955287539796,0.035378759982151814,0.09174314736678826,0.8428554581345655,0.5990167492122088
