"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000419",0.800290752308694,0.248160559487795,1.35242094512959,3.91969327011293,2.91405144900674,0.0053966506205233,0.0087116558087793,-3.01060766952636
"ENSG00000000460",1.69414726599712,0.610938705378122,2.77735582661611,1.59885123270442,3.14434353837105,0.00284933012432932,0.00482851034010344,-2.17923658897362
"ENSG00000000938",8.33612881309383,7.15759083366979,9.51466679251787,5.72261265244051,14.2203978778928,7.23609585545299e-19,4.54027326930428e-17,32.7049859075139
"ENSG00000001036",1.03755315310179,0.213037987482923,1.86206831872065,2.85622946490769,2.52989571765561,0.0147329003292814,0.0222136733750754,-3.78764994836875
"ENSG00000002549",1.38330068293712,0.692097627017598,2.07450373885663,5.93769881422009,4.02348007864936,0.000201591096890501,0.000407068042950027,-0.128649096717664
"ENSG00000002586",2.8519019594491,2.00776357838552,3.69604034051269,6.12364525360706,6.79222177955567,1.50497384945271e-08,6.09630799070503e-08,9.2075766716315
"ENSG00000002822",1.90280245239367,1.34417780945115,2.46142709533619,4.96406992545063,6.84801220925039,1.23531189680087e-08,5.06528332905379e-08,9.47057231678907
"ENSG00000002834",2.80073117061481,2.32725067490801,3.27421166632162,8.22469850787719,11.8921463401984,6.10606830774903e-16,1.41851818951865e-14,26.0317061024001
"ENSG00000002919",3.7405674622116,2.93783981237702,4.54329511204618,3.95584414551262,9.36828691163011,1.97725166161409e-12,1.73362087099454e-11,18.1640318928012
"ENSG00000003056",1.85468514375386,1.19602209427272,2.51334819323499,5.07490786125053,5.66106063093456,8.13559079337905e-07,2.41581124692722e-06,5.34594466235899
"ENSG00000003400",1.77652749793741,1.05081771187653,2.5022372839983,4.37463424344739,4.92152695612207,1.04503144497272e-05,2.57981430688245e-05,2.89957046854458
"ENSG00000003402",1.26216921401593,0.697273742928742,1.82706468510312,8.30413178680486,4.49200678543254,4.41205543375964e-05,9.87955981607851e-05,1.16274691610782
"ENSG00000003436",2.61046195982724,1.58583826848159,3.63508565117289,4.13624026972339,5.12205089055635,5.27010167608539e-06,1.36652851682739e-05,3.6345967560235
"ENSG00000003756",0.943133328709863,0.389525927715232,1.49674072970449,7.54835143748147,3.42501216595772,0.00126521747489951,0.00227391838283074,-2.01402065468133
"ENSG00000004059",2.10593827764902,1.62774603160192,2.58413052369611,5.78130074534708,8.85388796659958,1.12719035265804e-11,8.35132975305748e-11,16.3455033076159
"ENSG00000004399",5.25468159340054,4.20722283375,6.30214035305107,4.32692524411172,10.0855685534667,1.8347397560691e-13,2.09111729814233e-12,20.4982985056557
"ENSG00000004660",2.66910534939,1.66043503778553,3.67777566099447,2.59662352490232,5.3199480445107,2.66525317941831e-06,7.24301941178713e-06,4.3926031781856
"ENSG00000004799",1.06550915954923,0.311131712831117,1.81988660626734,4.40201417012709,2.83961462966077,0.00659656573591445,0.0105089695081409,-3.27859960610948
"ENSG00000004866",1.66386401660225,0.768420837930772,2.55930719527373,3.88464972720455,3.7356889755779,0.000495682152854961,0.000948155429571882,-0.761736068846053
