"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000003",1.28613173112959,0.369577431078039,2.20268603118115,5.29078458562425,2.87544530317108,0.00766026479853868,0.0140172820832382,-3.24463714595333
"ENSG00000000419",0.721930808563902,0.224827598187995,1.21903401893981,3.9331853733989,2.97428125899672,0.00597061379513833,0.0112502171946443,-2.82187091552573
"ENSG00000000938",5.64920265915104,3.9746824324284,7.32372288587368,4.72846790548703,6.9264029240835,2.0625385951791e-07,1.93780800029278e-06,7.14915208620296
"ENSG00000001167",1.10429118357653,0.429134926578535,1.77944744057452,6.38446187451629,3.34974952895563,0.00231609198288747,0.00492979685992704,-2.19604941702493
"ENSG00000001617",1.90731509316032,1.06675189870996,2.74787828761068,3.7820808243289,4.64713300393793,7.20951307668443e-05,0.000248542604543566,1.42831894237233
"ENSG00000002549",1.34488651653625,0.586357890080979,2.10341514299153,6.01734806694409,3.63117091143519,0.00111382859781106,0.00258115277689248,-1.4821039825232
"ENSG00000002586",1.07870477208559,0.413372298481398,1.74403724568977,5.2239570653376,3.32044969968273,0.00249703468487787,0.0052570539384761,-2.1821765133246
"ENSG00000002822",1.3433342591227,0.74160785368666,1.94506066455873,4.68813759272625,4.57212449600621,8.84992211527838e-05,0.000295660785214571,1.10428495330893
"ENSG00000002834",1.79514934019191,1.28585028280376,2.30444839758006,7.90501813091077,7.21872899870382,7.21117904342845e-08,8.34110588137685e-07,7.93593812522063
"ENSG00000002919",1.549347585275,0.486264839584557,2.61243033096543,3.2916286619822,2.98479711929132,0.00581751085928769,0.011003161577503,-2.69059047167903
"ENSG00000003056",3.51773250346283,2.70002312031113,4.33544188661453,4.99481335629972,8.81042496907966,1.40541876472061e-09,3.94180578612494e-08,11.9808857095168
"ENSG00000003400",2.61674388825435,1.47757273248696,3.75591504402174,4.30045697804052,4.70564574467847,6.22208067112804e-05,0.000219190600300427,1.58684981863684
"ENSG00000003402",2.04025395329738,1.40585780431257,2.67465010228219,8.79464851843659,6.58653064399157,3.75483270351714e-07,3.14427128246878e-06,6.2624461064112
"ENSG00000003509",0.783764167511747,0.148196382593785,1.41933195242971,3.38307374956008,2.52555339662696,0.0174645285524913,0.0291422845695134,-3.7417304818404
"ENSG00000003756",1.48871334575663,0.997749683699361,1.97967700781389,7.60823565897384,6.2100451640914,1.02302087051475e-06,7.07924485942811e-06,5.2929562688908
"ENSG00000004399",4.44754073416206,3.12473729815777,5.77034417016636,3.33697675535186,6.89418915922287,1.93107828711719e-07,1.84219865732363e-06,7.21351160113612
"ENSG00000004700",0.85709544641729,0.31400897829695,1.40018191453763,4.31903989044628,3.23216283846758,0.0031283265361997,0.00637839221687327,-2.27350608063769
"ENSG00000005001",4.33794405917776,2.9965491537326,5.67933896462291,3.41181529068596,6.63223426375687,3.86857674313659e-07,3.22026327225077e-06,6.53569787552779
"ENSG00000005007",1.10724930509836,0.668997535475602,1.54550107472111,7.0959755291994,5.17433764515242,1.70168627902809e-05,7.35437870045412e-05,2.51946390684595
"ENSG00000005020",2.09259651141363,1.43314706499116,2.75204595783611,6.578683433919,6.49885751947619,4.73622616690814e-07,3.80017201645254e-06,6.13702238752622
"ENSG00000005238",1.49999871442737,0.435008742623138,2.56498868623161,4.15266934339577,2.88455215099403,0.00744160380531536,0.0136697776238289,-2.98977993411527
"ENSG00000005302",1.05777923410018,0.348546273423538,1.76701219477682,4.9223247658373,3.05449313146876,0.00489323255426992,0.00945819376417939,-2.74717152289975
"ENSG00000005339",1.11744831976877,0.572496999570198,1.66239963996734,8.55892027439905,4.19955007850776,0.00024387113778368,0.000699043345808631,-0.161153853414057
"ENSG00000005486",0.9921261955086,0.331677899100353,1.65257449191685,4.48002243140559,3.07652974984186,0.00463134537687908,0.0090013965338034,-2.63824365037514
"ENSG00000005844",6.52983717552804,5.28895078048301,7.77072357057307,3.75007784611668,10.7854791984512,2.06277025857909e-11,2.08647017218829e-09,16.0716591419876
"ENSG00000005884",2.44212320678881,1.18357219646248,3.70067421711513,4.71047011561926,3.98085352529607,0.000463537199390058,0.00121816243554469,-0.510381005289348
"ENSG00000005893",4.32189449124629,3.49008609202174,5.15370289047085,5.49630718697784,10.6410353449785,2.28145045882455e-11,2.19416447908853e-09,16.0413704970985
"ENSG00000006015",0.75266355552414,0.0962330336910366,1.40909407735724,3.62123194568363,2.34825441912412,0.0261220609606136,0.0416376455345372,-4.15496903282057
"ENSG00000006062",1.17816634540865,0.436507466456941,1.91982522436037,4.87839085279647,3.25338484415733,0.0029638741228486,0.00608125057402773,-2.27300653746258
"ENSG00000006194",0.633803451803587,0.114875602780317,1.15273130082686,4.94202506033988,2.50138561756899,0.0184641529676629,0.0306435968609773,-4.00242256436072
"ENSG00000006459",1.26450049414307,0.427180323650254,2.10182066463588,6.57065373232135,3.09452878074061,0.0044631726387557,0.00871730596739712,-2.81737955550056
"ENSG00000006534",1.5303715724729,0.584047875451173,2.47669526949462,4.88785570323166,3.31324754308327,0.00256114034840373,0.00536372740806667,-2.14544960379132
"ENSG00000006555",1.08924505601984,0.143366035644877,2.03512407639481,4.52961231676682,2.35843022038171,0.025534745204585,0.0408384116745491,-4.2326124319732
"ENSG00000006576",1.7090214436283,0.841773635051844,2.57626925220475,3.26564878954774,4.03587147656339,0.000379298718812811,0.00102535917933652,-0.103445808282197
"ENSG00000006652",4.2499752385465,3.53592162496031,4.96402885213269,5.88073637140086,12.1895761586839,9.66949807566749e-13,2.18899018341539e-10,19.140420157907
"ENSG00000006712",0.541332000409741,0.104220739553468,0.978443261266014,7.00782301468089,2.53632400784194,0.0170353412693852,0.0284811015982617,-4.13530730604492
"ENSG00000006756",1.07197324677826,0.281181326755184,1.86276516680134,4.46352849015291,2.77622557231218,0.00967382894628672,0.0172148166987262,-3.35413301640533
"ENSG00000006831",1.61124222408214,0.814874514456432,2.40760993370784,5.33072013709333,4.143622844872,0.000283686036247884,0.000798250024458385,-0.08095442184423
"ENSG00000007202",0.503036585731316,0.103419967530332,0.9026532039323,7.07285012269793,2.57803648202082,0.0154635820288509,0.0261057773313768,-4.07778796865364
"ENSG00000007237",4.75678372063209,3.43811457571075,6.07545286555343,3.86408161244332,7.39806073668066,5.51326817356492e-08,6.6777265979943e-07,8.43768486585945
"ENSG00000007306",4.87288820374733,3.17037402567931,6.57540238181535,2.95743381221459,5.87514306004072,3.04320138286294e-06,1.75574992404495e-05,4.55220325775027
"ENSG00000007341",1.41780977550855,0.627998243847895,2.20762130716921,3.06539266877995,3.67644033935312,0.000988648880723968,0.00234007307889557,-1.01400015358412
"ENSG00000007392",1.36218772340856,0.775117247653646,1.94925819916348,4.63851283952077,4.75203629137247,5.41067696581731e-05,0.000195088041679905,1.59098947012583
"ENSG00000007944",1.7915983361848,1.02505259188153,2.55814408048806,5.91863079376126,4.78669328498691,4.9208827378321e-05,0.00017988371038565,1.57889345218379
"ENSG00000008083",2.13739857895754,1.38601876397687,2.8887783939382,6.7098248722196,5.82584625004182,2.88104826716104e-06,1.67643861225013e-05,4.35515270739956
"ENSG00000008128",1.61563064463076,0.726863294674628,2.5043979945869,3.62860981152155,3.72294839993073,0.000874353557391611,0.00210571267063815,-0.94653693412837
"ENSG00000008130",2.5926293260524,1.79208717730722,3.39317147479759,6.88166480138714,6.63571805487527,3.46783248746296e-07,2.94131590462068e-06,6.44381835653036
"ENSG00000008282",1.7910395401903,1.01110299924093,2.57097608113967,4.0809953207184,4.70304281439199,6.18708838501427e-05,0.000218281396529557,1.5348263148304
"ENSG00000008283",0.896830889205295,0.225091635070636,1.56857014333995,3.97445748186534,2.73427918933953,0.0106964471599879,0.0188127672210811,-3.37695317930213
"ENSG00000008513",2.36716244213667,1.59366887379262,3.14065601048072,6.37712062671612,6.26812967538043,8.82336533021133e-07,6.26956653282917e-06,5.53061444904723
"ENSG00000008516",5.87419892674216,4.35910089870663,7.38929695477769,4.14192835939828,7.95403260249445,1.4705985759751e-08,2.3111489686564e-07,9.73723587367144
"ENSG00000009790",6.19878967102427,4.99293461355278,7.40464472849577,3.56344566559904,10.5334769524536,3.28644780781779e-11,2.81509421231816e-09,15.6034317292378
"ENSG00000010244",1.90691769443226,1.42805344849808,2.38578194036645,6.80843361010585,8.15553701832656,6.82779797030476e-09,1.25811440119492e-07,10.3394453442343
"ENSG00000010270",0.985979663553176,0.37750275852842,1.59445656857793,4.86137547247985,3.31861510091952,0.0025088064540976,0.00527737428441592,-2.13209948731764
"ENSG00000010278",2.34067371407768,1.5481552461122,3.13319218204316,6.04510946596387,6.05101454564999,1.62228107626804e-06,1.0345170002117e-05,4.9118013441812
"ENSG00000010327",6.89693953787313,5.47668616018476,8.3171929155615,2.72625755082835,9.961472320783,1.45723147176001e-10,7.3308766314784e-09,14.2027475842251
"ENSG00000010404",0.917811855596806,0.268095937455506,1.56752777373811,6.8831302898067,2.89309825126294,0.00728794862737484,0.0134316370515759,-3.31874567585741
"ENSG00000010539",3.43375109021962,2.34549599422041,4.52200618621884,4.29475704086617,6.46435061582427,5.38568615773622e-07,4.22152547302193e-06,6.1952544370358
"ENSG00000010610",5.21490812993441,4.14028292840215,6.28953333146668,3.22389679446934,9.94111136813425,1.11373772542179e-10,6.01671493938088e-09,14.4630924958251
"ENSG00000010810",2.23569939351481,1.1652882310649,3.30611055596472,3.32422061192762,4.27755700935488,0.000197400040277034,0.000586341637911291,0.474733702169936
"ENSG00000011021",1.00172842036955,0.178538124349947,1.82491871638915,3.19821096914918,2.49219935873814,0.0188577607823295,0.0311662766414721,-3.796080405565
