"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000003",2.65860702894805,1.54496530825969,3.77224874963641,5.29078458562425,4.89200072685126,3.80110741350209e-05,0.000380831710090388,2.02935511900165
"ENSG00000000419",0.761455770081263,0.139313179166393,1.38359836099613,3.9331853733989,2.50661581347583,0.0182434503425339,0.0558823214744886,-3.63776393107594
"ENSG00000000938",5.19826337607253,3.09333350881516,7.3031932433299,4.72846790548703,5.07027650550865,2.61245585455048e-05,0.000279092474888382,2.53458673619273
"ENSG00000001617",2.95951520305186,1.91642819622503,4.0026022098787,3.7820808243289,5.81076171296347,3.00124370279772e-06,4.81211216293435e-05,4.60841557048735
"ENSG00000002549",1.18962357650942,0.247204487138002,2.13204266588085,6.01734806694409,2.58522599891437,0.0152066533968624,0.0488132547256476,-3.73175593607248
"ENSG00000002586",1.72231704037817,0.903180281917654,2.54145379883869,5.2239570653376,4.30615551336852,0.000182655149846864,0.00142118262254009,0.516228019750628
"ENSG00000002822",1.5202588386079,0.77088282828606,2.26963484892973,4.68813759272625,4.15480626430577,0.00027524241272659,0.00198107862241061,0.179871918649816
"ENSG00000002834",1.2315351750704,0.607746524322363,1.85532382581843,7.90501813091077,4.04335970231906,0.00037173459950273,0.00253911822706319,-0.35662981576897
"ENSG00000002933",1.75828006790669,0.344367884782689,3.17219225103068,4.15059985319302,2.54894944634016,0.0166598301960989,0.0521916525550274,-3.61201430539318
"ENSG00000003056",3.85340399599686,2.8409906952037,4.86581729679001,4.99481335629972,7.79506476635964,1.66920518919289e-08,9.67731886515e-07,9.59546679209326
"ENSG00000003400",2.2685912169401,0.868441258759042,3.66874117512116,4.30045697804052,3.3191637985154,0.00251739648030885,0.0119497782000881,-1.78861549659065
"ENSG00000003436",1.81601186426828,0.473503945532116,3.15851978300445,3.2513576779269,2.77035135096446,0.00981129488760418,0.0347231564522324,-3.02792683470946
"ENSG00000003756",0.77373802389979,0.17092402034226,1.37655202745732,7.60823565897384,2.62871579153659,0.0137350689674501,0.0451879016410089,-3.77296632460462
"ENSG00000004399",4.77500104585758,3.08898089842659,6.46102119328858,3.33697675535186,5.80723346595108,3.34277703800249e-06,5.28837339057033e-05,4.5166358372462
"ENSG00000005001",5.67274519573537,4.01060206133672,7.33488833013402,3.41181529068596,6.9993453130495,1.50569565170827e-07,4.60308023683109e-06,7.48569761059958
"ENSG00000005020",1.22836755206608,0.408433750286779,2.04830135384538,6.578683433919,3.06819227345265,0.00472881792093217,0.0199563252517635,-2.67469347354653
"ENSG00000005844",6.17478080593748,4.62166592100108,7.72789569087388,3.75007784611668,8.14867656099357,7.89548385067692e-09,5.91862142537355e-07,10.2777227285856
"ENSG00000005884",3.5522741232436,1.978018411107,5.1265298353802,4.71047011561926,4.62925009884685,8.19540796855493e-05,0.000733023600492008,1.3496694677811
"ENSG00000005893",3.31966011023032,2.26781796791473,4.3715022525459,5.49630718697784,6.46362392253328,5.20057366467227e-07,1.23309362602753e-05,6.24776822278411
"ENSG00000006015",1.34693460874556,0.531191145269713,2.16267807222141,3.62123194568363,3.38162882073111,0.00213359311748061,0.0104838260263595,-1.65443117302766
"ENSG00000006062",1.26435678000423,0.345881132893267,2.1828324271152,4.87839085279647,2.81925930653887,0.00872059825275806,0.031878296111966,-3.08104782818046
"ENSG00000006534",2.13158884264085,0.970860274148151,3.29231741113356,4.88785570323166,3.76243906422149,0.000795390018123458,0.00475633225931939,-0.84810951918289
"ENSG00000006555",1.88871035785161,0.719436860708949,3.05798385499427,4.52961231676682,3.30812782863605,0.002577131486928,0.0121544475087854,-1.91583174053162
"ENSG00000006576",1.47157693874418,0.379259828144729,2.56389404934363,3.26564878954774,2.75909886978356,0.0100797552314382,0.0354300601628519,-2.98819899957482
"ENSG00000006652",3.15963000059831,2.26814748943749,4.05111251175912,5.88073637140086,7.25865955659563,6.50742600017267e-08,2.5357625577722e-06,8.26224715653775
"ENSG00000006756",1.68420992970781,0.702113409838192,2.66630644957743,4.46352849015291,3.51216635405664,0.00152101459815123,0.0080120813292088,-1.42219864497539
"ENSG00000006831",1.51102033613341,0.516382268992469,2.50565840327435,5.33072013709333,3.11127399727869,0.00424540709317628,0.0182896831182239,-2.46662597270006
"ENSG00000007062",2.31514907837677,0.868513645174088,3.76178451157945,4.31194110837746,3.28137968024113,0.00281684908763414,0.0130328959246839,-1.99345333249285
"ENSG00000007202",0.559667130560769,0.0702824572902302,1.04905180383131,7.07285012269793,2.34213791314238,0.0264809803492241,0.0739011333021494,-4.35769953184909
"ENSG00000007237",4.1750158987594,2.5076102142595,5.8424215832593,3.86408161244332,5.13519792521285,2.06069717687999e-05,0.000231710066700743,2.7658066180316
"ENSG00000007306",6.52424584272653,4.442953179613,8.60553850584006,2.95743381221459,6.43457548450422,7.07644821364785e-07,1.53965376694196e-05,6.01199164723992
"ENSG00000007341",1.65520791155183,0.673430249606025,2.63698557349764,3.06539266877995,3.45280803512309,0.0017748671165506,0.00906794010970612,-1.40106967248587
