"","group","lib.size","norm.factors"
"X1741_sediment_repool","1",1617680,0.444538211514511
"X1742_sediment","1",2608438,0.54308552669419
"X1742_supt_purple_repool","1",1420132,1.35715439769229
"X1747_sediment_repool","1",2081941,1.20265889083509
"X1747_supt_purple_repool","1",1952683,1.40467551373599
"X1748_sediment_repool","1",1133419,0.766727985191538
"X1748_supt_purple_repool","1",489159,1.41799245934222
"X1749_supt_purple","1",228433,1.24953699351273
"X1754_sediment_repool","1",3133354,0.43474176415558
"X1761_sediment","1",4987256,0.55701199707064
"N1_sediment","1",782178,0.976299414417182
"X221_sediment_repool","1",1261716,0.463961750763296
"X221_supt_purple_repool","1",492962,1.43747307780297
"N2_sediment","1",105109,1.03757459184622
"X1741_supt_repool","1",385975,1.01253302042618
"X1746_sediment_repool","1",179345,0.753828283572568
"X1746_supt_repool","1",318748,1.45690327042164
"X1749_sediment","1",1776521,0.59994902054296
"X1755_sediment_repool","1",1779736,1.22737459325055
"X1756_sediment_repool","1",4708812,1.1680250443506
"X1757_sediment_repool","1",2175763,1.26574751315355
"X1757_supt_repool","1",182131,1.43263327745963
"N1_supt_repool","1",396663,1.40914920272834
"N2_supt_repool","1",572051,1.42575082935661
"N3_supt_repool","1",589851,1.46023962896494
"N4_sediment_repool","1",1694192,0.61545148416491
"N5_sediment_repool","1",731345,1.09057972482643
"N5_supt_repool","1",363280,1.45908587947503
"N6_sediment_repool","1",755329,1.10311918122589
"N6_supt_repool","1",836073,1.47881227383254
