"","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000460",1.51528186990488,0.321081821372016,2.70948191843774,1.59885123270442,2.55098118870933,0.0139721922739336,0.0228296487622511,-3.55401480087297
"ENSG00000000938",8.0999107146482,6.72384336086656,9.47597806842983,5.72261265244051,11.8339969659808,7.28928940483315e-16,2.80556132460144e-14,25.8932819587048
"ENSG00000001036",1.70928679489739,0.77584638506963,2.64272720472516,2.85622946490769,3.68145293729859,0.000585352376025158,0.00124457113907079,-0.71293151058572
"ENSG00000002016",1.3190036330526,0.230372021658679,2.40763524444652,2.37621487219401,2.43588041855311,0.0186032610965547,0.029609391786259,-3.86386158281869
"ENSG00000002549",1.48197417861263,0.742722794828038,2.22122556239722,5.93769881422009,4.03031883486147,0.000197260694259846,0.000461257683180972,-0.0593325315101358
"ENSG00000002586",3.24823991558815,2.37207531142923,4.12440451974707,6.12364525360706,7.45338076214945,1.45677409772109e-09,9.74986530847e-09,11.5365879186222
"ENSG00000002587",1.98493086335343,0.766974834650511,3.20288689205635,2.39128314965007,3.2764586295471,0.00195288116825299,0.0037690418830413,-1.79131691941419
"ENSG00000002822",2.00264181879355,1.39966744729754,2.60561619028956,4.96406992545063,6.67721470032654,2.26115353194375e-08,1.17871556033433e-07,8.91538098098513
"ENSG00000002834",2.35115386448599,1.85235450000876,2.84995322896322,8.22469850787719,9.47645868002085,1.37623841226812e-12,1.9903741003903e-11,18.3397613748593
"ENSG00000002919",3.45629835626608,2.59010389188361,4.32249282064855,3.95584414551262,8.02207530399558,1.98660772955883e-10,1.63251455102287e-09,13.6512406611739
"ENSG00000003056",1.91622006005024,1.19919250854877,2.63324761155171,5.07490786125053,5.37279725127233,2.21960516780965e-06,7.61160929593022e-06,4.41782886050872
"ENSG00000003400",0.999976054176615,0.21645737169967,1.78349473665356,4.37463424344739,2.56584937172842,0.013457470702358,0.0220454377959352,-3.83636267677919
"ENSG00000003436",2.87842804861901,1.78491938670036,3.97193671053766,4.13624026972339,5.2920515256482,2.9350771795709e-06,9.83557017588057e-06,4.24111954545995
"ENSG00000004059",1.9282097165203,1.43243077705595,2.42398865598465,5.78130074534708,7.81910610336699,4.03560712332294e-10,3.08679104855057e-09,12.80624500576
"ENSG00000004399",5.96597206848484,4.79938747403392,7.13255666293576,4.32692524411172,10.2814860912055,9.68742955711053e-14,1.964721614049e-12,21.1182059098799
"ENSG00000004660",2.14544903269685,1.00216539167686,3.28873267371684,2.59662352490232,3.77272479331455,0.000442202704171808,0.000963330194784407,-0.429645516532838
"ENSG00000004799",1.2804313675398,0.468324381793404,2.09253835328619,4.40201417012709,3.16981540750613,0.00265083008296083,0.00497190565303271,-2.3783268000014
"ENSG00000004866",2.06438542437637,1.12243372515313,3.00633712359962,3.88464972720455,4.40608695447279,5.85579494317175e-05,0.000153158405732501,1.31393888845756
"ENSG00000004939",8.90638167813077,7.52015367208521,10.2926096841763,4.45169842134872,12.9168776982757,2.89198068702628e-17,1.83366796508451e-15,29.0164292854615
"ENSG00000004961",0.867380471340152,0.208905388986506,1.5258555536938,4.10392813906364,2.64826358184319,0.0109049751105177,0.0181830083261463,-3.62478651819963
"ENSG00000005020",1.57578726198882,0.826260603378475,2.32531392059917,6.79642612240014,4.22669991334358,0.000105092657933118,0.000260753309624326,0.482909189689272
"ENSG00000005022",1.71394517934505,1.26915665724749,2.1587337014426,6.8427418829749,7.74701271597013,5.19432463128615e-10,3.85795492189299e-09,12.4788911461486
"ENSG00000005059",3.83807034624015,2.82518162339049,4.85095906908982,2.03014773650428,7.61801999377656,8.16612484376659e-10,5.7937164895675e-09,12.3050613785497
"ENSG00000005102",4.33307386580026,3.32148521267761,5.34466251892291,0.780943045776796,8.61158428991921,2.58327560360473e-11,2.62843929025559e-10,15.6470138990511
"ENSG00000005206",1.5483888991711,0.551980589508857,2.54479720883334,2.03416308966115,3.12416254862611,0.00301644722235102,0.00559752613796408,-2.19390474378917
"ENSG00000005238",4.03668073898789,3.16084247774254,4.91251900023324,4.78482770861359,9.26598093814603,2.78881265879451e-12,3.69651134094386e-11,17.8282426036
"ENSG00000005249",2.60952276401327,1.40821671107046,3.81082881695609,5.70238288070905,4.36752257429836,6.67452987957811e-05,0.000172920562278016,0.949686338463585
"ENSG00000005302",1.61173947689848,1.00143720086109,2.22204175293586,5.16475636030271,5.3093428083084,2.76481058246809e-06,9.29343557114763e-06,4.16397189183303
